iter	Passed	Remaining
416	2894	4046
417	2901	4039
418	2908	4032
419	2915	4025
420	2922	4018
421	2928	4011
422	2935	4004
423	2942	3997
424	2949	3990
425	2956	3983
426	2963	3976
427	2969	3969
428	2976	3962
429	2983	3955
430	2990	3948
431	2997	3940
432	3004	3933
433	3011	3926
434	3017	3919
435	3024	3912
436	3031	3905
437	3038	3898
438	3045	3891
439	3052	3884
440	3058	3877
441	3065	3870
442	3072	3863
443	3079	3856
444	3086	3849
445	3092	3841
446	3099	3834
447	3106	3827
448	3113	3820
449	3120	3814
450	3127	3807
451	3134	3800
452	3141	3793
453	3148	3786
454	3155	3779
455	3162	3772
456	3169	3765
457	3175	3758
458	3182	3751
459	3189	3744
460	3196	3737
461	3203	3730
462	3210	3723
463	3217	3716
464	3224	3709
465	3231	3703
466	3238	3696
467	3245	3688
468	3252	3681
469	3258	3674
470	3265	3667
471	3272	3660
472	3279	3653
473	3286	3646
474	3293	3639
475	3300	3632
476	3306	3625
477	3313	3618
478	3320	3611
479	3327	3604
480	3334	3597
481	3340	3590
482	3347	3583
483	3355	3577
484	3362	3570
485	3369	3563
486	3376	3556
487	3383	3549
488	3390	3542
489	3397	3535
490	3403	3528
491	3410	3521
492	3417	3514
493	3424	3507
494	3431	3500
495	3437	3493
496	3444	3486
497	3451	3479
498	3458	3472
499	3465	3465
500	3472	3458
501	3479	3451
502	3486	3444
503	3494	3438
504	3506	3436
505	3515	3432
506	3523	3426
507	3532	3420
508	3539	3413
509	3546	3407
510	3558	3404
511	3567	3400
512	3579	3398
513	3589	3393
514	3597	3388
515	3606	3382
516	3615	3377
517	3624	3372
518	3633	3367
519	3642	3361
520	3651	3356
521	3659	3351
522	3668	3345
523	3677	3340
524	3689	3338
525	3698	3333
526	3707	3327
527	3717	3323
528	3726	3317
529	3735	3312
530	3745	3307
531	3753	3302
532	3764	3298
533	3773	3292
534	3782	3287
535	3791	3282
536	3801	3277
537	3810	3272
538	3819	3267
539	3829	3261
540	3837	3256
541	3847	3250
542	3856	3245
543	3865	3240
544	3875	3235
545	3884	3230
546	3893	3224
547	3902	3219
548	3912	3213
549	3921	3208
550	3930	3202
551	3939	3197
552	3948	3191
553	3957	3186
554	3966	3180
555	3975	3175
556	3984	3169
557	3993	3163
558	4002	3157
559	4011	3151
560	4020	3146
561	4029	3140
562	4038	3134
563	4047	3128
564	4058	3124
565	4068	3119
566	4078	3114
567	4087	3108
568	4096	3102
569	4105	3097
570	4114	3091
571	4124	3086
572	4132	3079
573	4141	3073
574	4150	3067
575	4159	3061
576	4173	3059
577	4183	3054
578	4192	3048
579	4201	3042
580	4210	3036
581	4220	3031
582	4229	3025
583	4238	3019
584	4247	3012
585	4256	3006
586	4264	3000
587	4273	2994
588	4282	2988
589	4291	2982
590	4300	2976
591	4309	2970
592	4319	2964
593	4328	2958
594	4337	2952
595	4346	2946
596	4355	2939
597	4364	2933
598	4372	2927
599	4381	2920
600	4392	2915
601	4404	2911
602	4413	2905
603	4422	2899
604	4435	2895
605	4442	2888
606	4449	2880
607	4456	2873
608	4463	2865
609	4470	2858
610	4477	2850
611	4484	2843
612	4491	2835
613	4498	2828
614	4505	2820
615	4512	2812
616	4519	2805
617	4526	2797
618	4533	2790
619	4540	2782
620	4547	2775
621	4553	2767
622	4560	2760
623	4567	2752
624	4575	2745
625	4582	2737
626	4589	2730
627	4596	2722
628	4602	2714
629	4609	2707
630	4616	2699
631	4625	2693
632	4632	2686
633	4641	2679
634	4648	2671
635	4655	2664
636	4662	2656
637	4669	2649
638	4676	2641
639	4683	2634
640	4689	2626
641	4696	2619
642	4703	2611
643	4710	2603
644	4717	2596
645	4724	2588
646	4730	2581
647	4737	2573
648	4744	2566
649	4751	2558
650	4758	2550
651	4765	2543
652	4772	2536
653	4779	2528
654	4786	2520
655	4792	2513
656	4799	2505
657	4806	2498
658	4813	2490
659	4820	2483
660	4827	2475
661	4833	2468
662	4841	2460
663	4847	2453
664	4854	2445
665	4861	2438
666	4868	2430
667	4875	2423
668	4882	2415
669	4889	2408
670	4895	2400
671	4902	2392
672	4911	2386
673	4917	2378
674	4925	2371
675	4932	2363
676	4939	2356
677	4946	2349
678	4953	2341
679	4959	2334
680	4966	2326
681	4973	2319
682	4980	2311
683	4987	2304
684	4994	2296
685	5001	2289
686	5007	2281
687	5014	2274
688	5021	2266
689	5028	2259
690	5035	2251
691	5042	2244
692	5049	2236
693	5056	2229
694	5063	2221
695	5069	2214
696	5076	2206
697	5083	2199
698	5090	2192
699	5097	2184
700	5104	2177
701	5111	2169
702	5118	2162
703	5125	2154
704	5132	2147
705	5139	2140
706	5145	2132
707	5152	2125
708	5159	2117
709	5166	2110
710	5173	2102
711	5180	2095
712	5186	2087
713	5193	2080
714	5200	2072
715	5207	2065
716	5214	2058
717	5221	2050
718	5228	2043
719	5235	2035
720	5242	2028
721	5248	2021
722	5255	2013
723	5262	2006
724	5269	1998
725	5276	1991
726	5283	1983
727	5289	1976
728	5296	1968
729	5303	1961
730	5310	1954
731	5317	1946
